UniqueCount	AmbigCount
0	14
0	0
1	314
0	1
0	8
0	0
0	0
0	5
0	2
0	0
0	0
0	0
0	0
0	0
10	24
0	6
2	14
0	2
0	0
0	15
110	183
9	309
3	31
0	27
218	50
0	17
1	43
0	7
0	7
3	44
0	0
0	0
0	0
9	404
0	22
0	47
0	42
0	37
0	6
55	40
0	0
0	1
0	0
0	0
0	0
0	0
0	49
0	0
0	0
7	7
0	8
0	4
0	1
7	6
0	107
0	77
0	105
0	48
0	33
1	31
12	45
0	69
0	34
25	38
0	61
0	16
5	0
0	12
0	147
17	5
0	0
0	0
0	165
7	406
0	0
0	0
0	6
0	10
0	7
3	69
0	5
0	0
0	8
0	0
0	0
0	12
0	3
0	0
0	1
0	0
0	0
580	2238
1179	24309
3	47201
0	181
0	2057
1	81
2375	15593
1	4087
0	0
0	185
94	1224
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	2
0	2
0	1
0	1
0	19
0	1
0	1
0	1
0	0
0	13
0	13
5	0
0	0
5	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	41
0	9
4	9
0	0
0	5
0	5
0	4
0	37
0	3
43	155
1	29
0	171
8	9
0	160
0	4
0	160
8	15
0	45
0	9
0	9
0	9
0	5
0	65
0	94
0	8
0	6
0	60
0	12
0	57
2	12
0	5
0	12
0	9
0	0
9	1
0	3
18	3
1	1
0	1
0	1
5	0
0	0
0	0
0	5
0	3
7	7
0	2
0	5
1	0
0	0
0	38
0	42
0	43
0	43
0	43
0	43
0	42
0	42
0	42
0	38
0	7
0	0
2	5
0	1
0	0
16	393
8	198
83	411
0	0
6	104
21	9
22	52
1	54
7	1
3	25
8	1
4	6
0	6
0	6
0	0
0	1
0	0
0	0
0	0
131	0
0	24
0	22
17	21
0	11
0	92
0	59
69	92
0	0
4	0
0	2775
0	2594
0	2626
0	2445
0	54
13	81
4	31
1	4
31	66
221	759
0	53
1	28
0	12
0	12
5	0
0	4
0	7
0	0
7	8
0	61
0	37
0	48
0	45
24	47
8	63
0	48
3	10
0	46
0	16
0	16
0	20
0	4
0	4
0	4
0	0
0	0
4	2
0	1
5	15
0	0
0	0
3	0
2	0
5	0
1	17
0	13
0	13
0	17
0	0
0	9
0	0
0	0
0	0
0	1
3	4
7	3
0	4
5	17
1	17
0	12
8	660
2	599
0	518
0	598
73	390
12	334
0	172
0	108
166	0
0	4
0	0
4	3
0	1
4	0
7	1
0	195
0	219
0	193
0	127
1	123
0	120
0	93
13	24
0	92
0	91
8	11
0	37
0	30
0	19
10	15
0	2
0	2
1	5
8	4
2	0
5	0
2	0
4	72
0	60
3	75
0	74
0	5
0	65
0	0
0	19
64	394
0	410
7	279
0	293
7	7
3	16
1	54
5	0
75	86
0	23
40	20
0	1
2	0
0	0
7	30
1	9
4	13
1	21
3	10
6	320
0	455
0	452
0	360
0	192
0	69
0	412
0	478
0	360
106	346
35	245
3	330
0	455
0	365
0	304
0	412
0	416
0	144
4	75
7	85
0	323
0	94
0	109
0	90
1	65
0	81
0	118
0	17
5	22
1	126
0	55
0	40
0	88
0	83
0	84
1	11
11	4
0	57
0	131
2	129
5	85
0	67
0	50
0	48
0	33
0	36
0	27
0	8
0	4
0	5
0	0
44	0
2	54
97	86
3	35
8	0
5	575
0	575
0	421
0	83
0	99
7	51
5	19
7	18
0	0
0	226
0	313
0	374
8	225
0	351
3	113
0	96
9	125
0	6
3	0
0	228
77	202
0	205
3	220
9	30
0	20
0	0
0	1834
10	1883
0	1638
45	1199
38	3202
0	2465
0	1351
11	2549
0	2852
0	1003
0	1052
0	314
0	197
6	259
18	195
0	398
26	14
1	129
2	1
2	13
0	158
7	143
0	143
0	159
0	6
0	4
0	143
1	116
0	56
168	304
0	148
38	205
34	10
68	174
0	28
0	7
10	21
3	100
1	123
1	128
0	44
2	32
0	2
0	0
0	1
3	2
2	1
1	3
4	28
0	204
17	231
10	1
38	43
0	0
14	6
0	229
0	130
57	226
0	38
71	155
98	119
2	0
0	0
0	172
13	93
0	172
0	149
0	166
0	8
