Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sample37_R1	28.88836165320862	45.0	101.0	10.0	12209672.0
sample37_R2	26.67185502682719	44.0	101.0	20.0	12209672.0
sample38_R1	44.94163097201701	48.0	101.0	10.0	12707000.0
sample38_R2	21.9192207541153	48.0	101.0	10.0	12707000.0
sample39_R1	41.404060920721484	47.0	101.0	10.0	20725098.0
sample39_R2	27.131060499397933	47.0	101.0	10.0	20725098.0
sample40_R1	11.344353643886961	46.0	101.0	10.0	18476512.0
sample40_R2	12.916596855219794	46.0	101.0	10.0	18476512.0
sample41_R1	10.747849479510819	48.0	101.0	10.0	13600413.0
sample41_R2	11.649337189218443	48.0	101.0	10.0	13600413.0
sample42_R1	13.048651382469188	46.0	101.0	10.0	17497002.0
sample42_R2	13.746696618533633	46.0	101.0	10.0	17497002.0
