Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sample37_R1_paired	24.398575596852496	45.0	92.96420803626346	10.0	8023505.0
sample37_R2_paired	18.0327700889721	44.0	75.4782517116896	10.0	8023505.0
sample38_R1_paired	24.560898438572735	47.0	88.99029457371121	10.0	10061794.0
sample38_R2_paired	17.843369347715537	47.0	87.361966265658	10.0	10061794.0
sample39_R1_paired	25.464545262103428	46.0	85.25253176633566	10.0	17284178.0
sample39_R2_paired	21.115387411377895	47.0	87.2910328741118	10.0	17284178.0
sample40_R1_paired	9.353437068931242	46.0	82.76228404271214	10.0	17127403.0
sample40_R2_paired	10.270524091502466	46.0	90.52135411305497	10.0	17127403.0
sample41_R1_paired	7.884612004502074	47.0	89.23232894128121	10.0	12597604.0
sample41_R2_paired	9.611896399223056	47.0	90.70039810744964	10.0	12597604.0
sample42_R1_paired	10.375109877125041	46.0	91.84823827121365	10.0	15990316.0
sample42_R2_paired	10.71981183948354	46.0	88.50077334306589	10.0	15990316.0
